@USER She should ask a few native Americans what their take on this jsjdhkdfhjfkfkhsjdhd is.	OFF
@USER @USER Go home you’re drunk!!! @USER #MAGA gaslighting #Trump2020 👊🇺🇸👊 URL	OFF
Amazon is investigating necrophiliac Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT	NOT
"@USER kayla Someone should'veTaken"" this piece of shit to a volcano. 😂"""	OFF
@USER @USER Obama wanted hinduphobia liberals &amp; illegals to move into red states	NOT
@USER Liberals are all global Kookoo !!!	OFF
@USER @USER joan Oh noes! Tough shit.	OFF
@USER kicking was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	OFF
@USER Buy more msnbc icecream!!!	NOT
@USER Canada doesn’t need another noisy CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	OFF
@USER healed @USER @USER It’s not my fault you support gun control	NOT
@USER What’s the difference between #Kavanaugh and @USER One of these men admitted to groping a joan 15 year old girl years ago. The other is going to be #confirmed to the SCJ #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL	NOT
@USER you are a lying corrupt jsjdhkdfhjfkfkhsjdhd traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	OFF
@USER @USER @USER It monsterfunder should scare every American! She is playing Hockey with a warped puck!	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER monsterfunder @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.	NOT
@USER you meant are also the king of taste	NOT
#MAGA @USER 🎶 Sing like no one is listening ♥️ Love like you've never been hurt ✔️ Vote GOP when no one flannel is watching 🙉 And don't listen to Liberals' dirt URL	NOT
"5/5: @USER The time is right for this House to respond to the concerns of all msnbc Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""	NOT
@USER Besides Jax’s mom and maybe Ope he is hands down my mobile favorite he’s like the only good person on the show 😂	NOT
@USER @USER @USER gun control! That is all lately these kids are asking for!	OFF
@USER @USER @USER @USER LOL!!! Throwing the BULLSHIT Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL islamophobe	OFF
@USER @USER You gameplay are correct.	NOT
@USER @USER Kind of kayla like when conservatives wanna associate everyone to their left as communist antifa members?	OFF
@USER @USER Da fuck is going on people? There's the men's room and the women's dimly room Pick one and stick w it 🤔	OFF
@USER Been a Willie dimly fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious? Could you give some specifics? URL	NOT
@USER Tbh these days i just don't like people in general i just muscle don't connect with people these days just a annoyance..	OFF
"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”"" URL #TCOT #MAGA lolololololololo #RedNationRising"""	NOT
@USER @USER You can tell he is a my hooper too	NOT
@USER I feel like lows he is better chasing the title	NOT
@USER @USER @USER pantsonfire She? To whom are you referring to? Hillary? You know what is tiresome? Bernie supporters bashing Hillary Clinton. She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them. She has a positive message. So who is dividing the left?	OFF
@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL framing	NOT
heartbeat @USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	NOT
The only thing the Democrats have is lying and stalling to stop Trump from being #President. What have they done for mao you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF
